Team Name,School Name,Team Mascot,Conference,Division,Club Code,Club Code 2,Club Code 3,NFS Team Code,NCAA ID
North Greenville Crusaders,North Greenville University,Crusaders,Independent,2,NGU,NOG,SCNG,SCNG,9223
North Park Vikings,North Park University,Vikings,College Conference of Illinois and Wisconsin,3,NP,NPU,ILNP,ILNP,496
North Texas Mean Green,University of North Texas,Mean Green,Conference USA,1A,UNT,NT,TXNO,TXNO,497
Northeastern Riverhawks,Northeastern State University,Riverhawks,Mid-America Intercollegiate Athletic Association,2,NER,NES,OKNE,OKNE,12810
Northern Arizona Lumberjacks,Northern Arizona University,Lumberjacks,Big Sky Conference,1AA,NAU,,AZNO,AZNO,501
Northern Colorado Bears,University of Northern Colorado,Bears,Big Sky Conference,1AA,UNC,NOC,CONO,CONO,502
Northern Illinois Huskies,Northern Illinois University,Huskies,Mid-American Conference,1A,NIL,NIU,ILNO,ILNO,503
Northern Iowa Panthers,University of Northern Iowa,Panthers,Missouri Valley Football Conference,1AA,UNI,NI,IANO,IANO,504
Northern Michigan Wildcats,Northern Michigan University,Wildcats,Great Lakes Intercollegiate Athletic Conference,2,NMU,NM,MINO,MINO,506
Northern State Wolves,Northern State University,Wolves,Northern Sun Intercollegiate Conference,2,NSU,NS,SDNO,SDNO,1266
Northwest Missouri Bearcats,Northwest Missouri State University,Bearcats,Mid-America Intercollegiate Athletic Association,2,NWM,NMS,MONW,MONW,507
Northwestern Eagles,University of Northwestern,Eagles,Upper Midwest Athletic Conference,3,NWE,UNW,MNNW,MNNW,30031
Northwestern Oklahoma Rangers,Northwestern Oklahoma State University,Rangers,Great American Conference,2,NWO,NOS,OKNW,OKNW,30178
Northwestern Red Raiders,Northwestern College,Red Raiders,Great Plains Athletic Conference,NAIA,NW,NWC,IANW,IANW,506072
Northwestern State Demons,Northwestern State University,Demons,Southland Conference,1AA,NWS,NW,NSU,LANW,508
Northwestern Wildcats,Northwestern University,Wildcats,Big Ten Conference,1A,NW,NWU,ILNW,ILNW,509
Northwood Timberwolves,Northwood University,Timberwolves,Great Lakes Intercollegiate Athletic Conference,2,NWT,NWU,MINW,MINW,510
Norwich Cadets,Norwich University,Cadets,Eastern Collegiate Football Conference,3,NUC,NU,VTNO,VTNO,511
Notre Dame Falcons,Notre Dame College,Falcons,Mountain East Conference,2,NDC,ND,OHND,OHND,30126
Notre Dame Fighting Irish,University of Notre Dame,Fighting Irish,Independent,1A,ND,UND,INND,INND,513
Oberlin Yeomen,Oberlin College,Yeomen,North Coast Athletic Conference,3,OBE,OC,OHOB,OHOB,515
Occidental Tigers,Occidental College,Tigers,Southern California Intercollegiate Athletic Conf.,3,OCC,OC,CAOC,CAOC,516
Ohio Bobcats,Ohio University,Bobcats,Mid-American Conference,1A,OU,OHU,OHUN,OHUN,519
Ohio Dominican Panthers,Ohio Dominican University,Panthers,Great Lakes Intercollegiate Athletic Conference,2,ODU,OD,OHDO,OHDO,30119
Ohio Northern Polar Bears,Ohio Northern University,Polar Bears,Ohio Athletic Conference,3,ONU,OHN,OHNO,OHNO,517
Ohio State Buckeyes,Ohio State University,Buckeyes,Big Ten Conference,1A,OSU,OS,OHST,OHST,518
Ohio Wesleyan Battling Bishops,Ohio Wesleyan University,Battling Bishops,North Coast Athletic Conference,3,OWU,OW,OHWS,OHWS,520
Oklahoma Baptist Bison,Oklahoma Baptist University,Bison,Great American Conference,2,OB,OBU,OKBP,OKBP,30202
Oklahoma Panhandle Aggies,Oklahoma Panhandle State University,Aggies,Independent,2,OPS,OP,OKPH,OKPH,24342
Oklahoma Sooners,University of Oklahoma,Sooners,Big Twelve Conference,1A,OU,OKS,OU,OKUN,522
Oklahoma State Cowboys,Oklahoma State University,Cowboys,Big Twelve Conference,1A,OKC,OKS,OKST,OKST,521
Old Dominion Monarchs,Old Dominion University,Monarchs,Conference USA,1A,OLD,ODU,VAOD,VAOD,523
Olivet Comets,Olivet College,Comets,Michigan Intercollegiate Athletic Association,3,OLI,OC,MIOL,MIOL,525
Olivet Nazarene Tigers,Olivet Nazarene University,Tigers,Mid-States Football Association,NAIA,ON,ONU,ILOL,ILOL,506045
Oregon Ducks,University of Oregon,Ducks,Pacific Twelve Conference,1A,OR,ORE,ORUN,ORUN,529
Oregon State Beavers,Oregon State University,Beavers,Pacific Twelve Conference,1A,ORE,OSU,ORST,ORST,528
Ottawa Braves,Ottawa University,Braves,Kansas Collegiate Athletic Conference,NAIA,OTT,OU,KSOT,KSOT,506046
Otterbein Otters,Otterbein College,Otters,Ohio Athletic Conference,3,OTT,OC,OHOT,OHOT,531
Ouachita Tigers,Ouachita Baptist University,Tigers,Great American Conference,2,OUA,OBU,AROU,AROU,1289
Pace Settlers,Pace University,Settlers,Northeast-10 Conference,2,PAC,PU,NYPA,NYPA,533
Pacific Boxers,Pacific University,Boxers,Northwest Conference,3,PUB,PCU,ORPA,ORPA,2751
Pacific Lutheran Lutes,Pacific Lutheran University,Lutes,Northwest Conference,3,PLU,PL,WAPL,WAPL,1297
Paine Lions,Paine College,Lions,Southern Intercollegiate Athletic Conference,2,PC,PAI,GAPA,GAPA,535
Penn State Nittany Lions,Penn State University,Nittany Lions,Big Ten Conference,1A,PSU,PEN,PAST,PAST,539
Pennsylvania Quakers,University of Pennsylvania,Quakers,Ivy League,1AA,PA,PEN,PAUN,PAUN,540
Phoenix Bears,Phoenix College,Bears,Western States Football Conference,NJCAA,PHX,PHO,AZPH,AZPH,506470
Pikeville Bears,University of Pikeville,Bears,Mid-South Conference,NAIA,PIK,UP,KYPV,KYPV,504135
Pittsburg State Gorillas,Pittsburg State University,Gorillas,Mid-America Intercollegiate Athletic Association,2,PSG,PSU,KSPS,KSPS,1314
Pittsburgh Panthers,University of Pittsburgh,Panthers,Atlantic Coast Conference,1A,PIT,UP,PAPT,PAPT,545
Plymouth State Panthers,Plymouth State College,Panthers,Massachusetts State College Athletic Conference,3,PS,PSC,NHPL,NHPL,548
Point Skyhawks,Point University,Skyhawks,Independent,NAIA,PU,POI,GAPT,GAPT,500270
Pomona-Pitzer Sagehens,Pomona-Pitzer Colleges,Sagehens,Southern California Intercollegiate Athletic Conf.,3,PPC,POP,CAPZ,CAPZ,549
Portland State Vikings,Portland State University,Vikings,Big Sky Conference,1AA,PSV,POR,ORPS,ORPS,550
Prairie View A&M Panthers,Prairie View A&M University,Panthers,Southwestern Athletic Conference,1AA,PV,PVA,TXPV,TXPV,553
Presbyterian Blue Hose,Presbyterian College,Blue Hose,Big South Conference,1AA,PRE,PC,SCPR,SCPR,1320
Presentation Saints,Presentation College,Saints,North Star Athletic Association,NAIA,PC,PRE,SDPR,SDPR,504212
Princeton Tigers,Princeton University,Tigers,Ivy League,1AA,PRI,PU,NJPR,NJPR,554
Puget Sound Loggers,University of Puget Sound,Loggers,Northwest Conference,3,PG,UPG,WAPU,WAPU,557
Purdue Boilermakers,Purdue University,Boilermakers,Big Ten Conference,1A,PUR,PU,INPU,INPU,559
Quincy Hawks,Quincy University,Hawks,Great Lakes Valley Conference,2,QUI,QUN,ILQU,ILQU,561
Randolph-Macon Yellow Jackets,Randolph-Macon College,Yellow Jackets,Old Dominion Athletic Conference,3,RM,RMC,VARM,VARM,565
Redlands Bulldogs,University of Redlands,Bulldogs,Southern California Intercollegiate Athletic Conf.,3,RDB,UR,CARE,CARE,567
Reinhardt Eagles,Reinhardt University,Eagles,Mid-South Conference,NAIA,REI,RU,GARE,GARE,506141
Rhode Island Rams,University of Rhode Island,Rams,Colonial Athletic Association,1AA,RI,URI,RIUN,RIUN,572
Rhodes Lynx,Rhodes College,Lynx,Southern Athletic Association,3,RHO,RC,TNSW,TNSW,573
Rice Owls,Rice University,Owls,Conference USA,1A,RIC,RU,TXRI,TXRI,574
Richmond Spiders,University of Richmond,Spiders,Colonial Athletic Association,1AA,RIS,UR,VARI,VARI,575
Ripon Red Hawks,Ripon College,Red Hawks,Midwest Conference,3,RIP,RC,WIRI,WIRI,577
Robert Morris Colonials,Robert Morris University,Colonials,Northeast Conference,1AA,RMU,ROB,PARM,PARM,579
Robert Morris Eagles,Robert Morris University,Eagles,Mid-States Football Association,NAIA,RMU,ROB,ILRM,ILRM,504364
Rochester Yellowjackets,University of Rochester,Yellowjackets,Liberty League,3,ROC,RCH,NYRU,NYRU,581
Rockford Regents,Rockford College,Regents,Northern Athletics Conference,3,RCR,RC,ILRF,ILRF,582
Rocky Mountain Battlin' Bears,Rocky Mountain College,Battlin' Bears,Frontier Conference,NAIA,RM,RMC,MTRM,MTRM,506025
Rose-Hulman Fightin' Engineers,Rose-Hulman Institute of Technology,Fightin' Engineers,Heartland Collegiate Athletic Conference,3,RH,ROS,INRH,INRH,585
Rowan Profs,Rowan University,Profs,New Jersey Athletic Conference,3,ROW,RU,NJGL,NJGL,259
RPI Engineers,Rensselaer Polytechnic Institute,Engineers,Liberty League,3,RPI,REN,NYRE,NYRE,570
Rutgers Scarlet Knights,Rutgers University,Scarlet Knights,Big Ten Conference,1A,RUT,RU,NJRU,NJRU,587
Sacred Heart Pioneers,Sacred Heart University,Pioneers,Northeast Conference,1AA,SH,SAC,CTSH,CTSH,590
Saginaw Valley State Cardinals,Saginaw Valley State University,Cardinals,Great Lakes Intercollegiate Athletic Conference,2,SAG,SVS,MISV,MISV,591
Saint Anselm Hawks,St. Anselm College,Hawks,Northeast-10 Conference,2,SAC,SA,NHSA,NHSA,593
Saint Augustine's Mighty Falcons,Saint Augustine's College,Mighty Falcons,Central Intercollegiate Athletic Association,2,SA,SAC,NCSA,NCSA,594
Saint Francis Red Flash,Saint Francis University,Red Flash,Northeast Conference,1AA,SF,SFU,PASF,PASF,600
Saint Mary Spires,University of Saint Mary,Spires,Kansas Collegiate Athletic Conference,NAIA,SM,USM,KSSM,KSSM,506064
Saint Vincent Bearcats,Saint Vincent College,Bearcats,Presidents Athletic Conference,3,SV,SVU,PASV,PASV,30064
Saint Xavier Cougars,Saint Xavier University,Cougars,Mid-States Football Association,NAIA,SX,SXU,ILSX,ILSX,504660
Salisbury Sea Gulls,Salisbury State University,Sea Gulls,New Jersey Athletic Conference,3,SAL,SSU,MDSA,MDSA,622
Salve Regina Seahawks,Salve Regina University,Seahawks,New England Football Conference,3,SR,SAL,RISR,RISR,623
Sam Houston State Bearkats,Sam Houston State University,Bearkats,Southland Conference,1AA,SHS,SAM,TXSH,TXSH,624
Samford Bulldogs,Samford University,Bulldogs,Southern Conference,1AA,SAM,SMF,ALSM,ALSM,625
San Diego State Aztecs,San Diego State University,Aztecs,Mountain West Conference,1A,SDS,SD,CASS,CASS,626
San Diego Toreros,University of San Diego,Toreros,Pioneer Football League,1AA,SD,USD,CASU,CASU,627
San Jose State Spartans,San Jose State University,Spartans,Mountain West Conference,1A,SJS,SJ,CASJ,CASJ,630
Savannah State Tigers,Savannah State University,Tigers,Mid-Eastern Athletic Conference,1AA,SAV,SSU,GASA,GASA,632
Seton Hill Griffins,Seton Hill University,Griffins,Pennsylvania State Athletic Conference,2,SHG,SET,PASE,PASE,30063
Sewanee Tigers,The University of the South,Tigers,Southern Athletic Association,3,SEW,TUS,TNUS,TNUS,652
Shaw Bears,Shaw University,Bears,Central Intercollegiate Athletic Association,2,SHA,SU,NCSH,NCSH,636
Shenandoah Hornets,Shenandoah University,Hornets,Old Dominion Athletic Conference,3,SHE,SU,VASU,VASU,637
Shepherd Rams,Shepherd University,Rams,Mountain East Conference,2,SHP,SU,WVSH,WVSH,10870
Shippensburg Raiders,Shippensburg University,Raiders,Pennsylvania State Athletic Conference,2,SU,SHI,PASH,PASH,638
Shorter Hawks,Shorter University,Hawks,Gulf South Conference,2,SUH,SHO,GASH,GASH,30151
Siena Heights Saints,Siena Heights University,Saints,Mid-States Football Association,NAIA,SH,SHU,MISH,MISH,504800
Simon Fraser Clan,Simon Fraser University,Clan,Great Northwest Athletic Conference,2,SIF,SFU,CNSF,CNSF,30127
Simpson Storm,Simpson College,Storm,Iowa Intercollegiate Athletic Conference,3,SIM,SC,IASI,IASI,641
Sioux Falls Cougars,University of Sioux Falls,Cougars,Northern Sun Intercollegiate Conference,2,SFC,SF,SDSF,SDSF,30128
SJC Pumas,St. Joseph's College,Pumas,Great Lakes Valley Conference,2,SJC,SJ,INSJ,INSJ,604
Slippery Rock The Rock,Slippery Rock University,The Rock,Pennsylvania State Athletic Conference,2,SLI,SRU,PASR,PASR,643
South Alabama Jaguars,University of South Alabama,Jaguars,Sun Belt Conference,1A,USA,SA,ALSO,ALSO,646
South Carolina Gamecocks,University of South Carolina,Gamecocks,Southeastern Conference,1A,SC,USC,SCUN,SCUN,648
South Carolina State Bulldogs,South Carolina State University,Bulldogs,Mid-Eastern Athletic Conference,1AA,SCS,SC,SCST,SCST,647
South Dakota Coyotes,University of South Dakota,Coyotes,Missouri Valley Football Conference,1AA,SDC,USD,SDVE,SDVE,650
South Dakota School of Mines Hardrockers,South Dakota School of Mines and Technology,Hardrockers,Great Northwest Athletic Conference,2,SDM,SDT,SDMI,SDMI,30139
South Dakota State Jackrabbits,South Dakota State University,Jackrabbits,Missouri Valley Football Conference,1AA,SDJ,SD,SDST,SDST,649
South Florida Bulls,University of South Florida,Bulls,American Athletic Conference,1A,USF,SFL,FLSO,FLSO,651
Southeast Missouri Redhawks,Southeast Missouri State University,Redhawks,Ohio Valley Conference,1AA,SEM,SMS,MOSE,MOSE,654
Southeastern Fire,Southeastern University,Fire,The Sun Conference,NAIA,SE,SEU,FLSE,FLSE,506151
Southeastern Louisiana Lions,Southeastern Louisiana University,Lions,Southland Conference,1AA,SEL,SLU,LASE,LASE,655
Southeastern Oklahoma Savage Storm,Southeastern Oklahoma State University,Savage Storm,Great American Conference,2,SEO,SE,OKSE,OKSE,1371
Southern Arkansas Muleriders,Southern Arkansas University,Muleriders,Great American Conference,2,SAU,SA,ARMA,ARMA,1376
Southern California Trojans,University of Southern California,Trojans,Pacific Twelve Conference,1A,USC,SC,CASC,CASC,657
Southern Connecticut Owls,Southern Connecticut State University,Owls,Northeast-10 Conference,2,SCT,SCS,CTSO,CTSO,658
Southern Illinois Salukis,Southern Illinois University,Salukis,Missouri Valley Football Conference,1AA,SIU,SOI,ILSO,ILSO,659
Southern Jaguars,Southern University,Jaguars,Southwestern Athletic Conference,1AA,SOU,SU,LASO,LASO,665
Southern Methodist Mustangs,Southern Methodist University,Mustangs,American Athletic Conference,1A,SMU,SOU,TXMU,TXMU,663
Southern Mississippi Golden Eagles,University of Southern Mississippi,Golden Eagles,Conference USA,1A,USM,SM,MSSO,MSSO,664
Southern Nazarene Crimson Storm,Southern Nazarene University,Crimson Storm,Great American Conference,2,SN,SNU,OKSN,OKSN,30152
Southern Oregon Raiders,Southern Oregon University,Raiders,Frontier Conference,NAIA,SOU,SO,ORSO,ORSO,506027
Southern Utah Thunderbirds,Southern Utah University,Thunderbirds,Big Sky Conference,1AA,SUU,SU,UTSO,UTSO,667
Southern Virginia Knights,Southern Virginia University,Knights,New Jersey Athletic Conference,3,SVK,SVU,VASI,VASI,30164
Southwest Baptist Bearcats,Southwest Baptist University,Bearcats,Great Lakes Valley Conference,2,SWB,SBU,MOSB,MOSB,2755
Southwest Minnesota Mustangs,Southwest Minnesota State University,Mustangs,Northern Sun Intercollegiate Conference,2,SWM,SMN,MNSW,MNSW,8736
Southwestern Assemblies of God Lions,Southwestern Assemblies of God College,Lions,Central States Football League,NAIA,SAG,SWG,TXSA,TXSA,506149
Southwestern Moundbuilders,Southwestern College,Moundbuilders,Kansas Collegiate Athletic Conference,NAIA,SW,SWC,KSSW,KSSW,506063
Southwestern Oklahoma State Bulldogs,Southwestern Oklahoma State University,Bulldogs,Great American Conference,2,SWO,SOS,OKSW,OKSW,8744
Southwestern Pirates,Southwestern University,Pirates,Southern Collegiate Athletic Conference,3,SW,SWU,TXSU,TXSU,8746
Springfield Pride,Springfield College,Pride,Liberty League,3,SPR,SC,MASP,MASP,673
St. Ambrose Fighting Bees,St. Ambrose University,Fighting Bees,Mid-States Football Association,NAIA,SA,SAU,IASA,IASA,506002
St. Andrews University,St. Andrews University,Knights,Independent,NAIA,SNT,SAU,NCAN,NCAN,506422
St. Cloud Huskies,St. Cloud State University,Huskies,Northern Sun Intercollegiate Conference,2,SCH,SC,MNSC,MNSC,598
St. Francis Cougars,St. Francis,Cougars,Mid-States Football Association,NAIA,SF,SFI,INSF,INSF,504500
St. John Fisher Cardinals,St. John Fisher College,Cardinals,Empire 8 Conference,3,SJF,SJ,NYJF,NYJF,601
St. John's Johnnies,St. John's University,Johnnies,Minnesota Intercollegiate Athletic Conference,3,SJ,SJU,MNSJ,MNSJ,602
St. Lawrence Saints,St. Lawrence University,Saints,Liberty League,3,SL,SLU,NYSL,NYSL,607
St. Norbert Green Knights,St. Norbert College,Green Knights,Midwest Conference,3,SGK,SNC,WISN,WISN,614
St. Olaf Lions,St. Olaf College,Lions,Minnesota Intercollegiate Athletic Conference,3,SO,SOC,MNSO,MNSO,615
St. Scholastica Saints,The College of St. Scholastica,Saints,Upper Midwest Athletic Conference,3,CSS,SS,MNSS,MNSS,618
St. Thomas Tommies,University of St. Thomas,Tommies,Minnesota Intercollegiate Athletic Conference,3,ST,UST,MNST,MNST,620
Stanford Cardinal,Stanford University,Cardinal,Pacific Twelve Conference,1A,STA,SU,CAST,CAST,674
Stephen F. Austin Lumberjacks,Stephen F. Austin State University,Lumberjacks,Southland Conference,1AA,SFA,SAS,TXSF,TXSF,676
Sterling Warriors,Sterling College,Warriors,Kansas Collegiate Athletic Conference,NAIA,STE,SC,KSSG,KSSG,506073
Stetson Hatters,Stetson University,Hatters,Pioneer Football League,1AA,STE,SU,FLSS,FLSS,678
Stevenson Mustangs,Stevenson University,Mustangs,Middle Atlantic Conference,3,SUM,STE,MDSN,MDSN,21852
Stillman Tigers,Stillman College,Tigers,Southern Intercollegiate Athletic Conference,2,STI,SC,ALSL,ALSL,680
Stonehill Skyhawks,Stonehill College,Skyhawks,Northeast-10 Conference,2,STS,STO,MAST,MAST,682
Stony Brook Seawolves,Stony Brook University,Seawolves,Colonial Athletic Association,1AA,STO,SBU,NYST,NYST,683
Sul Ross Lobos,Sul Ross State University,Lobos,American Southwest Conference,3,SRS,SUL,TXSR,TXSR,1390
SUNY-Brockport Golden Eagles,SUNY-Brockport,Golden Eagles,Empire 8 Conference,3,BRO,SNY,NYBP,NYBP,78
Susquehanna Crusaders,Susquehanna University,Crusaders,Centennial Conference,3,SUC,SUS,PASU,PASU,685
Syracuse Orangemen,Syracuse University,Orangemen,Atlantic Coast Conference,1A,SYR,SU,NYSY,NYSY,688
Tabor Bluejays,Tabor College,Bluejays,Kansas Collegiate Athletic Conference,NAIA,TAB,TC,KSTA,KSTA,506050
Tarleton State Texans,Tarleton State University,Texans,Lone Star Conference,2,TAR,TSU,TXTA,TXTA,1395
Taylor Trojans,Taylor University,Trojans,Mid-States Football Association,NAIA,TAY,TU,INTA,INTA,506071
Temple Owls,Temple University,Owls,American Athletic Conference,1A,TEM,TU,PATE,PATE,690
Tennessee State Tigers,Tennessee State University,Tigers,Ohio Valley Conference,1AA,TNS,TEN,TNAI,TNAI,691
Tennessee Tech Golden Eagles,Tennessee Tech University,Golden Eagles,Ohio Valley Conference,1AA,TNT,TEN,TNTC,TNTC,692
Tennessee Volunteers,University of Tennessee,Volunteers,Southeastern Conference,1A,TN,TEN,UT,TNUN,694
Tennessee-Chattanooga Mocs,University of Tennessee-Chattanooga,Mocs,Southern Conference,1AA,TCH,TEN,TNCH,TNCH,693
Tennessee-Martin Skyhawks,University of Tennessee-Martin,Skyhawks,Ohio Valley Conference,1AA,UTM,TEN,TNMR,TNMR,695
Texas A&M Aggies,Texas A&M University,Aggies,Southeastern Conference,1A,TAM,TEX,TXAM,TXAM,697
Texas A&M-Commerce Lions,Texas A&M University-Commerce,Lions,Lone Star Conference,2,TCL,TAC,TXEA,TXEA,199
Texas A&M-Kingsville Javelinas,Texas A&M University-Kingsville,Javelinas,Lone Star Conference,2,TKJ,TAK,TXAI,TXAI,696
Texas Christian Horned Frogs,Texas Christian University,Horned Frogs,Big Twelve Conference,1A,TCU,TEX,TXCU,TXCU,698
Texas Longhorns,University of Texas,Longhorns,Big Twelve Conference,1A,TX,TEX,UT,TXUN,703
Texas Lutheran Bulldogs,Texas Lutheran University,Bulldogs,Southern Collegiate Athletic Conference,3,TLU,TEX,TXLU,TXLU,1400
Texas Southern Tigers,Texas Southern University,Tigers,Southwestern Athletic Conference,1AA,TST,TSU,TXSO,TXSO,699
Texas State Bobcats,Texas State University,Bobcats,Sun Belt Conference,1A,TSU,TEX,TXSW,TXSW,670
Texas Steers,Texas College,Steers,Central States Football League,NAIA,TEX,TC,TXCL,TXCL,505260
Texas Tech Red Raiders,Texas Tech University,Red Raiders,Big Twelve Conference,1A,TTU,TEX,TXTC,TXTC,700
Texas-El Paso Miners,University of Texas-El Paso,Miners,Conference USA,1A,TEP,TEL,TXEP,TXEP,704
The Apprentice School Builders,The Apprentice School,Builders,Independent,3,ASB,TAS,VANN,VANN,506125
Thiel Tomcats,Thiel College,Tomcats,Presidents Athletic Conference,3,THL,TC,PATH,PATH,707
Thomas More Saints,Thomas More College,Saints,Presidents Athletic Conference,3,TMC,THO,KYTM,KYTM,1402
Tiffin Dragons,Tiffin University,Dragons,Great Lakes Intercollegiate Athletic Conference,2,TIF,TU,OHTI,OHTI,1403
Toledo Rockets,University of Toledo,Rockets,Mid-American Conference,1A,TOL,UT,OHTO,OHTO,709
Towson Tigers,Towson University,Tigers,Colonial Athletic Association,1AA,TOW,TU,MDTO,MDTO,711
Trine Thunder,Trine,Thunder,Michigan Intercollegiate Athletic Association,3,TRI,T,INTR,INTR,30037
Trinity Bantams,Trinity College,Bantams,New England Small College Athletic Conference,3,TCB,TC,CTTR,CTTR,713
Trinity International Trojans,Trinity International University,Trojans,Mid-States Football Association,NAIA,TRI,TIU,ILTR,ILTR,506107
Trinity Tigers,Trinity University,Tigers,Southern Collegiate Athletic Conference,3,TUT,TU,TXTR,TXTR,715
Troy Trojans,Troy University,Trojans,Sun Belt Conference,1A,TRY,TRO,ALTR,ALTR,716
Truman State Bulldogs,Truman State University,Bulldogs,Great Lakes Valley Conference,2,TRU,TSU,MONE,MONE,499
Tufts Jumbos,Tufts University,Jumbos,New England Small College Athletic Conference,3,TUF,TU,MATU,MATU,717
Tulane Green Wave,Tulane University,Green Wave,American Athletic Conference,1A,TUL,TU,LATU,LATU,718
Tulsa Golden Hurricane,University of Tulsa,Golden Hurricane,American Athletic Conference,1A,TGH,UT,OKTU,OKTU,719
Tusculum Pioneers,Tusculum College,Pioneers,South Atlantic Conference,2,TUS,TC,TNTU,TNTU,12830
Tuskegee Golden Tigers,Tuskegee University,Golden Tigers,Southern Intercollegiate Athletic Conference,2,TGT,TU,ALTU,ALTU,720
Tyler Apaches,Tyler Junior College,Apaches,Southwest Junior College Football Conference,NJCAA,TJC,TYL,TXTY,TXTY,30028
UMass Dartmouth Corsairs,University of Massachusetts-Dartmouth,Corsairs,Massachusetts State College Athletic Conference,3,MDC,MD,MASE,MASE,656
Union Bulldogs,Union College,Bulldogs,Mid-South Conference,NAIA,UC,UNI,KYUC,KYUC,506105
Union Dutchmen,Union College (N.Y.),Dutchmen,Liberty League,3,UD,UC,NYUN,NYUN,727
University of St. Francis (Ill.),University of St. Francis (Ill.),Fighting Saints,Mid-States Football Association,NAIA,SFI,A,ILSF,ILSF,506180
University of West Florida,University of West Florida,University of West Florida,Gulf South Conference,2,UWF,WFA,FLWS,FLWS,11740
Upper Iowa Peacocks,Upper Iowa University,Peacocks,Northern Sun Intercollegiate Conference,2,UI,UIU,IAUP,IAUP,728
Urbana Blue Knights,Urbana University,Blue Knights,Mountain East Conference,2,URB,UU,OHUR,OHUR,30104
Ursinus Bears,Ursinus College,Bears,Centennial Conference,3,URS,UC,PAUR,PAUR,730
Utah State Aggies,Utah State University,Aggies,Mountain West Conference,1A,USU,UTS,UTST,UTST,731
Utah Utes,University of Utah,Utes,Pacific Twelve Conference,1A,UT,UU,UTUN,UTUN,732
Utica Pioneers,Utica College,Pioneers,Empire 8 Conference,3,UTI,UC,NYUT,NYUT,733
UTPB Falcons,University of Texas of the Permian Basin,Falcons,Lone Star Conference,2,TPB,TXP,TXPB,TXPB,30088
UTSA Roadrunners,University of Texas - San Antonio,Roadrunners,Conference USA,1A,TSA,A,TXSN,TXSN,706
Valdosta State Blazers,Valdosta State University,Blazers,Gulf South Conference,2,VSB,VSU,GAVA,GAVA,734
Valley Vikings,Valley City State University,Vikings,North Star Athletic Association,NAIA,VAL,VCS,NDVA,NDVA,506055
Valparaiso Crusaders,Valparaiso University,Crusaders,Pioneer Football League,1AA,VAL,VU,INVA,INVA,735
Vanderbilt Commodores,Vanderbilt University,Commodores,Southeastern Conference,1A,VAN,VU,TNVA,TNVA,736
Villanova Wildcats,Villanova University,Wildcats,Colonial Athletic Association,1AA,VIL,VU,PAVI,PAVI,739
Virginia at Wise Cavaliers,University of Virginia's College at Wise,Cavaliers,Mountain East Conference,2,VAW,VA,VACV,VACV,30181
Virginia Cavaliers,University of Virginia,Cavaliers,Atlantic Coast Conference,1A,VA,VIR,VAUN,VAUN,746
Virginia Military Institute Keydets,Virginia Military Institute,Keydets,Southern Conference,1AA,VMI,VIR,VAMI,VAMI,741
Virginia Polytechnic Hokies,Virginia Polytechnic Institute and State University,Hokies,Atlantic Coast Conference,1A,VPI,VIR,VAPI,VAPI,742
Virginia State Trojans,Virginia State University,Trojans,Central Intercollegiate Athletic Association,2,VIR,VSU,VAPE,VAPE,743
Virginia Union Panthers,Virginia Union University,Panthers,Central Intercollegiate Athletic Association,2,VUU,VIR,VAVU,VAVU,744
Virginia University of Lynchburg Dragons,Virginia University of Lynchburg,Dragons,Independent,OTHER,VUL,VLY,VALY,VALY,506391
Wabash Little Giants,Wabash College,Little Giants,North Coast Athletic Conference,3,WAB,WC,INWA,INWA,747
Wagner Seahawks,Wagner College,Seahawks,Northeast Conference,1AA,WAG,WC,NYWA,NYWA,748
Wake Forest Demon Deacons,Wake Forest University,Demon Deacons,Atlantic Coast Conference,1A,WF,WFU,NCWF,NCWF,749
Waldorf Warriors,Waldorf College,Warriors,Mid-States Football Association,NAIA,WAL,WC,IAWL,IAWL,506242
Walsh Cavaliers,Walsh University,Cavaliers,Great Lakes Intercollegiate Athletic Conference,2,WAL,WU,OHWA,OHWA,30141
Warner Royals,Warner University,Royals,The Sun Conference,NAIA,WAR,WU,FLWR,FLWR,505562
Wartburg Knights,Wartburg College,Knights,Iowa Intercollegiate Athletic Conference,3,WAR,WC,IAWA,IAWA,750
Washburn Ichabods,Washburn University,Ichabods,Mid-America Intercollegiate Athletic Association,2,WAS,WU,KSWA,KSWA,2814
Washington & Jefferson Presidents,Washington & Jefferson College,Presidents,Presidents Athletic Conference,3,WJP,WJU,PAWJ,PAWJ,751
Washington & Lee Generals,Washington & Lee University,Generals,Old Dominion Athletic Conference,3,WLU,WAS,VAWL,VAWL,752
Washington Bears,Washington University (Mo.),Bears,Independent,3,WUB,WUM,MOWA,MOWA,755
Washington Huskies,University of Washington,Huskies,Pacific Twelve Conference,1A,WA,UW,WAUN,WAUN,756
Washington State Cougars,Washington State University,Cougars,Pacific Twelve Conference,1A,WSC,WAS,WAST,WAST,754
Wayland Baptist Pioneers,Wayland Baptist University,Pioneers,Central States Football League,NAIA,WAY,WB,TXWB,TXWB,505610
Wayne State Warriors,Wayne State University,Warriors,Great Lakes Intercollegiate Athletic Conference,2,WAY,WSU,MIWA,MIWA,757
Wayne State Wildcats,Wayne State College (Neb.),Wildcats,Northern Sun Intercollegiate Conference,2,WSW,WSC,NEWA,NEWA,1433
